stopID,stop_Cname,stop_Ename,lon,lat,address
26522,岩山里,Yanshan Villiage,121.53757979911501,25.101878014034906,仰德大道一段16號同向(向南)
26524,士林官邸(中正),Chiang Kai-Shek Shilin Residence,121.53143999999999,25.0965,中正路與雨農路交叉口同向
26665,簡厝,Jiancuo,121.58565,25.12153,至善路三段281號同向
26666,溪山派出所,Xishan Police Substation,121.58447,25.11958,至善路三段267號同向
26667,楓林橋,Fenglin Bridge,121.58294850000001,25.11927286,地標同向
26668,大豐,Dafeng,121.5813749,25.12002485,至善路三段219巷同向
35796,南青宮,Nanqing Temple,121.54561000000001,24.95269,北宜路一段256號同向
24967,五分埤,Wufenpi,121.621188834486,25.0761334864734,康樂街200號對面(向北)
24968,康湖隧道口(白馬山莊),Baima Shanzhuang,121.62288000000001,25.07715,忠二街口(白馬山莊)對面(向北)
24969,南寮(忠三街口),Zhongsan St. Entrance,121.62361000000001,25.078715,康樂路同向(向北)
24970,奇頭,Qitou,121.620775,25.09159,(向北)
24971,內溝,Neigou,121.616871,25.095043,康樂路297號附近靠三叉路口小廣場
24974,南寮(忠三街口),Zhongsan St. Entrance,121.623553,25.079068,康樂路同向
24975,康湖隧道口(白馬山莊),Baima Shanzhuang,121.62281362361601,25.077315748139306,忠二街口(白馬山莊)旁(向南)
24976,五分埤,Wufenpi,121.62118809341001,25.0762017702812,康樂街200號(向南)
24977,東湖國中,Donghu Junior High School,121.619351259043,25.0726450755284,康樂路150號同向(向南)
24979,東湖社區,Donghu Community,121.61847759999998,25.06922957,康樂街50號同向(向南)
24980,東湖國小,Donghu Elementary School,121.61668,25.068177,東湖路133號同向(向西)
24981,五分社區,Wufen Community,121.61430843975599,25.068763284981,東湖路47號同向
24983,南港軟體園區北站,Nangang Software Park N.,121.61420454646499,25.0596870231816,三重路39號(向南)
24986,南港高工(南港路),Nangang Vocational High School(Nangang Rd.),121.609776304165,25.0549683149017,南港路一段257號對面(向西)
24987,南港行政中心,Nangang Dist. Admin. Center,121.606693480964,25.054411394787504,南港路一段360號(向西)
24991,土地公廟,Tudigong Temple,121.595509916336,25.054490381902298,南港路2段294號前
24992,南港高中,Nangang High School,121.59498020000001,25.0530195,向陽路80號對面(向南)
24993,捷運昆陽站,MRT Kunyang,121.594406,25.050667,忠孝東路六段昆陽街口東側55公尺(向西)
121599,復興中學,Fuxing High School,121.50003982456998,25.140779616914,中和街296號對向
121600,中和里,Zhonghe Li,121.49882288607701,25.1422718056895,中和街280之1號同向
121601,國泰新村,Guotai New Village,121.498191201655,25.1434882184522,中和街411號對向
121602,慈航寺,Cihang Temple,121.496498,25.144813,中和街453之7號對向(向北)
121603,秀山里,Xiushan Li,121.494135327259,25.145428371156697,中和街492號
121604,貴子坑水土保持園區,Guizikeng Soil and Water Conservation Park,121.49263375339899,25.1452633730156,秀山路(向南)
124227,國興路口,Guoxing Rd. Entrance,121.508379,25.025757000000002,中華路二段413號(向北)
56127,胡適國小,Hushi Elementary School,121.61903810000001,25.04344894,舊莊街一段12號對向(向北)
59819,新莊高中(幸福路),Xinzhuang High School 2,121.44537196496599,25.049113403307,幸福路830號
59820,新莊高中(中平路),Xinzhuang High School(Zhongping Rd.),121.4448672,25.04956252,中平路256號(向北)
57270,康寧派出所,Kangning Police Substation,121.5977584,25.08125478,金湖路100號同向
56861,捷運三和國中站,MRT Sanhe Juior High School Sta.,121.4859364,25.07691628,三和路四段254號同向(向東)
